iter	Logloss
0	0.6402753734
1	0.5920097782
2	0.5484071651
3	0.5093319894
4	0.4741009584
5	0.4413652577
6	0.4121425679
7	0.3858080565
8	0.3618022562
9	0.3405173332
10	0.3207240992
11	0.3036426272
12	0.2880679924
13	0.274028938
14	0.2609594414
15	0.2495595067
16	0.2394305497
17	0.2301513657
18	0.2215098936
19	0.2135592201
20	0.2064296587
21	0.1998084624
22	0.1939726745
23	0.1885322967
24	0.1836836816
25	0.1791705321
26	0.1751669047
27	0.171401118
28	0.1680142329
29	0.1649139692
30	0.1620654915
31	0.1594722274
32	0.1570131821
33	0.1547128214
34	0.1526967611
35	0.1507097218
36	0.1491331075
37	0.1473978734
38	0.1457984756
39	0.1443913809
40	0.143057284
41	0.141803868
42	0.1406958936
43	0.1396829986
44	0.138734463
45	0.1378219989
46	0.1369930758
47	0.1360951078
48	0.1355026476
49	0.1347702704
50	0.1341374745
51	0.1335481318
52	0.1330624588
53	0.1325284951
54	0.1320668146
55	0.131673637
56	0.1312642177
57	0.130850868
58	0.1305334546
59	0.1301838352
60	0.1298870912
61	0.1295364548
62	0.1292196714
63	0.1289664602
64	0.1286965937
65	0.1284314631
66	0.1281764198
67	0.1279408116
68	0.1276433761
69	0.1274471383
70	0.1272532813
71	0.1270498813
72	0.1268400673
73	0.1266208489
74	0.1264397098
75	0.1262769261
76	0.1261334128
77	0.126009455
78	0.125897098
79	0.1257566449
80	0.1255909735
81	0.1254458041
82	0.1253227143
83	0.125212494
84	0.1250696809
85	0.1249279189
86	0.1248067795
87	0.1246737279
88	0.1245751015
89	0.1244835344
90	0.1244037155
91	0.1243290308
92	0.1242238762
93	0.1241429469
94	0.1240619701
95	0.1240045379
96	0.1239295771
97	0.1238756999
98	0.1238067746
99	0.1237168269
100	0.1236529978
101	0.1235780999
102	0.123458658
103	0.1233751694
104	0.1233033881
105	0.1232550969
106	0.1231676371
107	0.1230754924
108	0.1229933885
109	0.1229138582
110	0.1228416371
111	0.1228193868
112	0.1227138198
113	0.1226360412
114	0.1225653996
115	0.1224933254
116	0.1224215825
117	0.1223682989
118	0.1223411259
119	0.1222731984
120	0.1222100383
121	0.1221367613
122	0.1220953673
123	0.1219753214
124	0.1219216488
125	0.121881058
126	0.1218441323
127	0.1217734415
128	0.1217311129
129	0.1216637097
130	0.1216273143
131	0.1215798677
132	0.1215492115
133	0.1215034037
134	0.1214340268
135	0.1213984683
136	0.1213399085
137	0.1212515494
138	0.1212004115
139	0.1211273129
140	0.1210821577
141	0.1210532809
142	0.1210155149
143	0.1209796671
144	0.1209322762
145	0.1208853082
146	0.1208495511
147	0.1208079439
148	0.1207810245
149	0.1207416373
150	0.1207057066
151	0.1206737672
152	0.1206319025
153	0.1205856969
154	0.1205470871
155	0.1205079972
156	0.1204737127
157	0.1204304143
158	0.1204024948
159	0.1203704817
160	0.1203233448
161	0.1202972361
162	0.1202574001
163	0.1201997698
164	0.1201731014
165	0.1201384796
166	0.120094088
167	0.120036186
168	0.1200052571
169	0.1199771074
170	0.1199112946
171	0.1198868172
172	0.1198474989
173	0.1198103446
174	0.1197787586
175	0.1197457125
176	0.1197026688
177	0.1196689205
178	0.1196185637
179	0.119595183
180	0.1195595541
181	0.1195163703
182	0.119494399
183	0.1194630819
184	0.1194374159
185	0.1194012391
186	0.1193829479
187	0.1193527915
188	0.1193094326
189	0.119275133
190	0.1192507537
191	0.1192124062
192	0.1191929512
193	0.1191709961
194	0.119141679
195	0.1191159275
196	0.1190821114
197	0.1190372589
198	0.1190203788
199	0.1189998094
200	0.118962351
201	0.1188861455
202	0.118858498
203	0.1188286279
204	0.1187844444
205	0.1187021394
206	0.118673831
207	0.1186474978
208	0.1186324395
209	0.1185845305
210	0.1185381768
211	0.118475636
212	0.1184617333
213	0.1184115531
214	0.1183855703
215	0.1183520841
216	0.1183380561
217	0.1183191372
218	0.1182888905
219	0.1182488636
220	0.1182190019
221	0.1181947197
222	0.1181722495
223	0.1181456864
224	0.1181127812
225	0.1180902369
226	0.1180334601
227	0.1179963015
228	0.1179833298
229	0.1179125382
230	0.1178827715
231	0.1178632776
232	0.1178322904
233	0.1177949512
234	0.1177749782
235	0.1176980926
236	0.1176654052
237	0.1176352969
238	0.1176029652
239	0.1175808354
240	0.1174968362
241	0.1174855698
242	0.1174575719
243	0.1174359267
244	0.1173782711
245	0.117342082
246	0.1173090951
247	0.1172550777
248	0.1172244883
249	0.1172020219
250	0.1171893323
251	0.1171702511
252	0.1171268105
253	0.1171012303
254	0.1170630869
255	0.1170468535
256	0.1170188007
257	0.1169947222
258	0.1169551966
259	0.1169210884
260	0.1169074509
261	0.1168781268
262	0.1168577453
263	0.116791664
264	0.1167323996
265	0.1166959671
266	0.11666136
267	0.1166344572
268	0.1165828682
269	0.1165533534
270	0.1165349978
271	0.1164997388
272	0.1164910053
273	0.1164687447
274	0.116448336
275	0.1164101183
276	0.1163912803
277	0.1163664714
278	0.1162931609
279	0.1162529418
280	0.1161908781
281	0.1161523734
282	0.1161086112
283	0.1160426275
284	0.1159819812
285	0.115950935
286	0.1159373678
287	0.1158801424
288	0.1158575632
289	0.1158333753
290	0.1157811632
291	0.1157225636
292	0.1156866058
293	0.1156466677
294	0.1156112354
295	0.1155642105
296	0.115533129
297	0.1155027654
298	0.115483825
299	0.1154141386
300	0.1153758918
301	0.1153359688
302	0.1153075892
303	0.115288324
304	0.1152758925
305	0.1152362404
306	0.1151749938
307	0.1151175004
308	0.1150523074
309	0.1150053875
310	0.1149698223
311	0.1149091983
312	0.1148714146
313	0.1148203535
314	0.1147896065
315	0.1147553227
316	0.1146970258
317	0.114664409
318	0.1146111521
319	0.1145917333
320	0.1145496514
321	0.1144913678
322	0.1144741988
323	0.1144312933
324	0.1144045162
325	0.1143555887
326	0.1143074395
327	0.1142730869
328	0.1142361198
329	0.1141590184
330	0.1141278092
331	0.1140968153
332	0.1140702805
333	0.1140198551
334	0.1139786406
335	0.1139197041
336	0.1138827709
337	0.1138285497
338	0.1137757918
339	0.1137444044
340	0.1136594711
341	0.1136319264
342	0.1135845051
343	0.1135574167
344	0.1135197318
345	0.113474532
346	0.113403209
347	0.1133532569
348	0.1133173858
349	0.1132800329
350	0.113249983
351	0.1132287015
352	0.113153528
353	0.1131017147
354	0.1130703088
355	0.1130458263
356	0.1129993781
357	0.1129501912
358	0.1129153266
359	0.1128787706
360	0.1128665434
361	0.1128253968
362	0.1127860683
363	0.1127472291
364	0.112714166
365	0.1126872024
366	0.1126706397
367	0.1126495709
368	0.1126287852
369	0.1126091746
370	0.1125618739
371	0.1125097234
372	0.1124728534
373	0.1124405785
374	0.1124095023
375	0.1123818101
376	0.1123433159
377	0.1122930453
378	0.1122531574
379	0.1122296954
380	0.1121826408
381	0.1121688645
382	0.1121056274
383	0.1120920446
384	0.112075487
385	0.1120497671
386	0.1120200225
387	0.1119612122
388	0.1119169721
389	0.1118964503
390	0.1118575617
391	0.1118401074
392	0.111799015
393	0.1117541465
394	0.1117343343
395	0.1117051655
396	0.1116358494
397	0.1116058582
398	0.1115771675
399	0.1115587378
400	0.1115167563
401	0.1114659405
402	0.1114484445
403	0.1114231321
404	0.1114087897
405	0.1113692366
406	0.111326712
407	0.1113121296
408	0.1112986711
409	0.1112837803
410	0.111264136
411	0.1112264573
412	0.1111913815
413	0.1111728819
414	0.1111303611
415	0.1111150588
416	0.1110850155
417	0.1110484457
418	0.1110113803
419	0.1109769027
420	0.1109533103
421	0.1109104295
422	0.1108654656
423	0.1108021857
424	0.1107513694
425	0.1107287387
426	0.1106971165
427	0.1106623142
428	0.1106503752
429	0.1106033393
430	0.1105786286
431	0.1105627234
432	0.1105296207
433	0.1104902933
434	0.1104558102
435	0.1104416945
436	0.1104016666
437	0.1103683193
438	0.1103435688
439	0.1103156952
440	0.110277026
441	0.1102493676
442	0.1102085163
443	0.1101649426
444	0.1101182746
445	0.1100919427
446	0.1100330936
447	0.1099970365
448	0.1099676057
449	0.1099419597
450	0.1099213656
451	0.1099004391
452	0.1098818013
453	0.1098661842
454	0.1098408092
455	0.1098008004
456	0.1097882699
457	0.1097670257
458	0.1097258896
459	0.1096886422
460	0.1096625527
461	0.1096243529
462	0.1095797932
463	0.1095677598
464	0.10954464
465	0.1094746458
466	0.1094318097
467	0.1094040746
468	0.1093737687
469	0.1093502398
470	0.1093390726
471	0.1093170636
472	0.109287817
473	0.1092655765
474	0.1092444366
475	0.1092208871
476	0.1091869191
477	0.1091686184
478	0.1091153238
479	0.1090898474
480	0.1090521379
481	0.1090329081
482	0.1090113623
483	0.1089849664
484	0.1089596854
485	0.1089362803
486	0.1089149006
487	0.1088581738
488	0.1088190896
489	0.1087968078
490	0.1087465973
491	0.1086837468
492	0.108663145
493	0.1086460107
494	0.108637002
495	0.1086107691
496	0.1085712958
497	0.1085515142
498	0.1085178071
499	0.1084966431
500	0.108468458
501	0.1084538095
502	0.1084017628
503	0.1083690811
504	0.1083454867
505	0.1082988909
506	0.1082903137
507	0.1082463871
508	0.1082288686
509	0.1081822791
510	0.1081629882
511	0.1081390606
512	0.1081221501
513	0.108096141
514	0.1080772985
515	0.1080614865
516	0.1080424065
517	0.1080171809
518	0.1079975027
519	0.1079506829
520	0.1079065816
521	0.1078628326
522	0.1078276571
523	0.1077865195
524	0.1077654171
525	0.1077535582
526	0.1077351265
527	0.1077057322
528	0.1076507191
529	0.1076295876
530	0.1075830637
531	0.1075644128
532	0.1075371691
533	0.107516357
534	0.1074773817
535	0.1074504423
536	0.1074191663
537	0.1073870473
538	0.1073465697
539	0.1073028283
540	0.1072795123
541	0.1072268959
542	0.1071887881
543	0.1071228654
544	0.1071091578
545	0.1070708488
546	0.1070453968
547	0.1070290274
548	0.1069860916
549	0.1069434935
550	0.1068830111
551	0.1068439907
552	0.1068369041
553	0.1068194431
554	0.1067574219
555	0.1067002407
556	0.1066506347
557	0.1066348999
558	0.106625446
559	0.1066112125
560	0.1065436687
561	0.1065039306
562	0.1064802424
563	0.1064604096
564	0.1064452342
565	0.1064264277
566	0.1064099882
567	0.1063792147
568	0.1063646927
569	0.10634547
570	0.1062975906
571	0.1062782517
572	0.106240923
573	0.1062058083
574	0.1061771226
575	0.1061586179
576	0.1061138205
577	0.106093597
578	0.1060601497
579	0.106017713
580	0.1059922964
581	0.1059589378
582	0.1059350769
583	0.1058990199
584	0.1058356054
585	0.1057869291
586	0.1057534347
587	0.1057242166
588	0.1056672796
589	0.1056332692
590	0.1056198943
591	0.105585623
592	0.1055475525
593	0.1055282795
594	0.1054830433
595	0.1054681888
596	0.1054480578
597	0.1054169088
598	0.1053934175
599	0.1053492058
600	0.1053374836
601	0.1053052279
602	0.1052207633
603	0.1052009267
604	0.1051886704
605	0.1051614169
606	0.1051161692
607	0.1050881263
608	0.1050405735
609	0.1050101014
610	0.104967712
611	0.1049385993
612	0.1049211717
613	0.1048983743
614	0.1048870656
615	0.1048649094
616	0.1048196096
617	0.1048016234
618	0.1047744997
619	0.1047272886
620	0.1046827272
621	0.1046665359
622	0.1046471733
623	0.1046246301
624	0.1046170608
625	0.1045988688
626	0.1045745575
627	0.1045281192
628	0.104501463
629	0.1044685468
630	0.1044579277
631	0.1044394317
632	0.1044245432
633	0.1043923351
634	0.1043820722
635	0.1043517986
636	0.1043368826
637	0.1043194974
638	0.1042956155
639	0.1042517111
640	0.1042203062
641	0.1041868927
642	0.1041660967
643	0.1041476404
644	0.1041319317
645	0.1040899478
646	0.1040462523
647	0.1040315826
648	0.1040004012
649	0.1039735264
650	0.1039381955
651	0.1038979279
652	0.1038922724
653	0.1038398522
654	0.1038057117
655	0.1037851185
656	0.1037260586
657	0.1036563026
658	0.1036250592
659	0.1036090246
660	0.1035948677
661	0.1035603638
662	0.1035307962
663	0.1035145044
664	0.1034970187
665	0.103471733
666	0.1034326931
667	0.1034210126
668	0.1033980674
669	0.1033481854
670	0.1032928525
671	0.103269018
672	0.1032464493
673	0.1032256865
674	0.1031925689
675	0.1031747571
676	0.1031322059
677	0.1031045004
678	0.1030872639
679	0.1030489463
680	0.1030014021
681	0.1029933328
682	0.1029805655
683	0.1029481792
684	0.1029144474
685	0.1028866524
686	0.1028541761
687	0.1028151111
688	0.1028098146
689	0.1027835601
690	0.1027575132
691	0.1027282082
692	0.1026756406
693	0.1026355939
694	0.1026075754
695	0.1025773508
696	0.1025567141
697	0.1025515516
698	0.1025113353
699	0.1024958193
700	0.1024753869
701	0.1024344702
702	0.1024120551
703	0.1023808039
704	0.1023510167
705	0.1023460417
706	0.1023117269
707	0.1022881415
708	0.1022546283
709	0.102221269
710	0.1022004187
711	0.1021902341
712	0.1021583469
713	0.1021536425
714	0.1021346019
715	0.1020879555
716	0.1020356971
717	0.1020316368
718	0.102027237
719	0.101988449
720	0.1019678494
721	0.1019582655
722	0.1019143049
723	0.101882832
724	0.1018311199
725	0.1017991668
726	0.1017499086
727	0.1017303842
728	0.1017226132
729	0.1017099266
730	0.1016912981
731	0.1016564864
732	0.1016315086
733	0.1015999872
734	0.1015527061
735	0.1015336216
736	0.1015122914
737	0.1015049888
738	0.1014747231
739	0.1014574595
740	0.1014083225
741	0.1013620858
742	0.101311888
743	0.1012811007
744	0.1012546344
745	0.101221912
746	0.1011715627
747	0.1011573627
748	0.101110895
749	0.1010852646
750	0.1010816876
751	0.1010602187
752	0.101043496
753	0.1010250278
754	0.1009863687
755	0.1009710726
756	0.1009527832
757	0.1009306503
758	0.1009014232
759	0.1008770679
760	0.1008437854
761	0.1007994858
762	0.1007846042
763	0.100749395
764	0.1007301646
765	0.1006836813
766	0.1006438951
767	0.1005790386
768	0.1005618329
769	0.1005299477
770	0.1005077938
771	0.1004794921
772	0.1004700451
773	0.1004530604
774	0.1004269363
775	0.1004004875
776	0.1003904779
777	0.1003701364
778	0.1003271301
779	0.100306553
780	0.1002825279
781	0.100259371
782	0.1002342544
783	0.1002058389
784	0.1001813889
785	0.1001602316
786	0.1001135084
787	0.1000919708
788	0.1000809207
789	0.1000527005
790	0.1000343496
791	0.1000095148
792	0.09997998979
793	0.09995751483
794	0.09993342607
795	0.09990625838
796	0.09989025516
797	0.0998729191
798	0.0998246367
799	0.0998044079
800	0.09978819174
801	0.09975809403
802	0.09974036843
803	0.09972111018
804	0.09971095582
805	0.09969329683
806	0.09965014145
807	0.09962680227
808	0.0996010383
809	0.09958669555
810	0.09957660913
811	0.0995539165
812	0.09953880027
813	0.09949178513
814	0.09948031796
815	0.09946407363
816	0.09942328858
817	0.09939393746
818	0.09938589629
819	0.09933748998
820	0.09931226494
821	0.09928419036
822	0.09926623392
823	0.09924472669
824	0.09921217334
825	0.09913762174
826	0.09909734839
827	0.09906863067
828	0.0990529946
829	0.09903095952
830	0.09900536005
831	0.09900535395
832	0.09900304755
833	0.09897499438
834	0.09895990802
835	0.09892182565
836	0.09890865958
837	0.09889620145
838	0.09888887505
839	0.09888887505
840	0.09883767269
841	0.09881690869
842	0.09878184381
843	0.09874708791
844	0.09874348362
845	0.09869382724
846	0.09868112335
847	0.09864915052
848	0.09860004931
849	0.09856348682
850	0.09852003084
851	0.0984913616
852	0.09846830251
853	0.09844703875
854	0.09841673334
855	0.09839369802
856	0.09834954346
857	0.09833362282
858	0.09831124454
859	0.09830138732
860	0.09828989698
861	0.09827873735
862	0.09827303623
863	0.09824537572
864	0.09822844831
865	0.09820893594
866	0.09818544296
867	0.0981771754
868	0.09816727771
869	0.0981551103
870	0.09813626609
871	0.09812132194
872	0.09809620174
873	0.09805803942
874	0.09804853796
875	0.09801046475
876	0.09797478942
877	0.09795130274
878	0.09793267437
879	0.09791836556
880	0.09787629254
881	0.09786724579
882	0.09785242192
883	0.09783663265
884	0.09782236898
885	0.09782239787
886	0.09780359449
887	0.09777877477
888	0.09776760536
889	0.09775371493
890	0.09773435986
891	0.0977068791
892	0.09769833838
893	0.09766121384
894	0.09763660753
895	0.09760120663
896	0.09757058755
897	0.0975247609
898	0.0975121411
899	0.09749302959
900	0.09744942773
901	0.09743497896
902	0.09741958291
903	0.09738306858
904	0.09736563921
905	0.0973529715
906	0.09732288058
907	0.09729669816
